s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
194.1359005,89636.6273980,43183.7068128,-2.1437705,0.0274834,9.7222222,0.0000000
195.1841643,89637.5167420,43183.1519035,-2.1120380,0.0363492,9.7222222,0.0000000
196.1443283,89638.3480054,43182.6713662,-2.0801198,0.0229232,9.7222222,0.0000000
197.1694503,89639.2550127,43182.1936499,-2.0170578,0.1079126,9.7222222,0.0000000
198.1548486,89640.1666584,43181.8196020,-1.9006052,0.1235553,9.7222222,-0.3327606
199.1092064,89641.0858660,43181.5629774,-1.7871129,0.1133620,9.6895025,-3.0000000
200.0788086,89642.0444437,43181.4171789,-1.6504882,0.1495101,9.3845003,-3.0000000
201.1166881,89643.0822922,43181.4091422,-1.5031964,0.1710622,9.0466330,3.0000000
202.0570581,89644.0123439,43181.5480649,-1.3509001,0.1152450,9.3532769,3.0000000
203.0367916,89644.9540838,43181.8182566,-1.2277246,0.1407072,9.6624112,0.5778755
204.0399621,89645.8732838,43182.2200306,-1.0887703,0.1467703,9.7222222,0.0000000
205.0038003,89646.6965619,43182.7212266,-0.9679266,0.0930869,9.7222222,0.0000000
205.9790033,89647.4769707,43183.3060198,-0.8917179,0.0668953,9.7222222,0.0000000
206.9572138,89648.2221158,43183.9397819,-0.8478722,0.0210796,9.7222222,0.0000000
207.9721873,89648.9778843,43184.6172664,-0.8345065,0.0063559,9.7222222,0.0000000
208.9821618,89649.7274960,43185.2941200,-0.8433677,-0.0241554,9.7222222,0.0000000
209.9898788,89650.4918565,43185.9508136,-0.8839911,-0.0557279,9.7222222,0.0000000
211.0138323,89651.3047396,43186.5734707,-0.9546121,-0.0809654,9.7222222,0.0000000
212.0804773,89652.2041977,43187.1468002,-1.0558199,-0.1023019,9.7222222,0.0000000
213.2167019,89653.2203699,43187.6551312,-1.1542935,-0.0815559,9.7222222,-1.9939021
214.3344324,89654.2633771,43188.0569489,-1.2527886,-0.0864923,9.4902221,-3.0000000
215.4832767,89655.3702149,43188.3647689,-1.3454774,-0.0820782,9.1198272,-3.0000000
216.6507629,89656.5245274,43188.5396599,-1.5117930,-0.1642191,8.7273325,-3.0000000
217.9660988,89657.8390100,43188.4922895,-1.7051640,-0.1803073,8.2628274,-3.0000000
219.0977353,89658.9462116,43188.2583970,-1.8099912,0.0541454,7.8412051,-3.0000000
220.0977974,89659.9195470,43188.0287396,-1.8145174,-0.0516236,7.4487667,-3.0000000
221.3342197,89661.0907988,43187.6326219,-2.0264440,-0.2912687,6.9329352,3.0000000
222.6372098,89662.1668877,43186.8979001,-2.2690781,-0.0883057,7.4755288,3.0000000
